date,regional_risk,risk_category,sync_stress,compression_agree,volatility_cohere,price_sync,avg_compression,stressed_azs,event_flag
2025-01-01,15.806326685379632,Low,0.0,0.0,96.52777777777777,62.075622035092564,-0.04112200435729926,0.0,1
2025-01-02,16.19827911588585,Low,0.0,0.0,96.52777777777777,62.591010584060896,-0.02151416122004333,0.0,1
2025-01-03,17.317433730123966,Low,0.0,0.0,97.22222222222223,63.308505836015215,0.019063180827886796,0.0,1
2025-01-04,7.342709775232868,Low,0.0,0.0,96.52777777777777,64.26489571172361,0.006535947712418729,0.0,1
2025-01-05,7.528159849620844,Low,0.0,0.0,95.13888888888889,63.26006817045821,-0.008986928104575215,0.0,0
2025-01-06,7.942862642967346,Low,0.0,0.0,94.44444444444444,59.75029513895398,0.0008169934640517252,0.0,0
2025-01-07,7.994200608883629,Low,0.0,0.0,94.44444444444444,59.416654041882666,-0.039760348583878405,0.0,0
2025-01-08,8.578209246876918,Low,0.0,0.0,92.36111111111111,56.06431275998901,0.012799564270152587,0.0,0
2025-01-09,8.430612336429908,Low,0.0,0.0,95.13888888888889,54.32541258341336,0.026416122004357945,0.0,0
2025-01-10,8.844614499783763,Low,0.0,0.0,93.75,51.84388768190094,-0.011982570806100627,0.0,0
2025-01-11,18.91882898860884,Low,0.0,0.0,93.75,50.811710113911595,-0.011437908496731186,0.0,1
2025-01-12,18.873421164290676,Low,0.0,0.0,93.75,51.35974260545927,-0.008986928104575496,0.0,1
2025-01-13,19.102728792675567,Low,0.0,0.0,92.36111111111111,52.04052253076065,0.11519607843137192,0.0,1
2025-01-14,18.903500298661797,Low,0.0,0.0,93.75,50.58918001991798,-0.056644880174291735,0.0,1
2025-01-15,18.9812420574843,Low,0.0,0.0,94.53477575507088,49.69283634982466,0.02505446623093765,0.0,1
2025-01-16,18.857270612269552,Low,0.0,0.0,95.13888888888889,49.768797145278334,-0.02641612200435756,0.0,1
2025-01-17,8.77195142733063,Low,0.0,0.0,95.13888888888889,51.78620468094206,0.010348583877994942,0.0,1
2025-01-18,8.693909357021255,Low,0.0,0.0,93.75,53.04865152782667,-0.0217864923747279,0.0,0
2025-01-19,8.53455362036693,Low,0.0,0.0,95.13888888888889,53.028646802866646,-0.024782135076252414,0.0,0
2025-01-20,8.265512913317872,Low,0.0,0.0,95.83333333333333,55.40859635701735,0.02260348583878011,0.0,0
2025-01-21,8.397973358076678,Low,0.0,0.0,93.75,55.93448210550773,-0.01307189542483661,0.0,0
2025-01-22,8.402984077097024,Low,0.0,0.0,94.44444444444444,55.26754484994478,0.0019063180827882996,0.0,0
2025-01-23,8.754517724372937,Low,0.0,0.0,92.45359052391589,53.616428310786134,0.008169934640522642,0.0,0
2025-01-24,8.80509955986245,Low,0.0,0.0,94.53692787735214,51.32139024951354,0.005174291938998512,0.0,0
2025-01-25,8.749360476638408,Low,0.0,0.0,95.13888888888889,51.77110111596885,0.04438997821350765,0.0,0
2025-01-26,8.787568980132683,Low,0.0,0.0,94.44444444444444,51.7076435320065,0.0032679738562086977,0.0,0
2025-01-27,8.44763577700961,Low,0.0,0.0,95.13888888888889,54.28181216454442,0.022331154684096393,0.0,0
2025-01-28,9.05173693593386,Low,0.0,0.0,93.76433964592087,50.72646092938104,0.09313725490196072,0.0,0
2025-01-29,8.869702559825694,Low,0.0,0.0,95.83333333333333,49.693497277560056,0.0577342047930285,0.0,0
2025-01-30,8.587759822713293,Low,0.0,0.0,93.75,54.65344752450104,0.046840958605663854,0.0,0
2025-01-31,8.611769820113663,Low,0.0,0.0,93.05555555555556,55.20583121062806,0.0356753812636167,0.0,0
2025-02-01,7.796352083206448,Low,0.0,0.0,93.75,50.143777642881055,0.1663943355119826,0.0,0
2025-02-02,7.753778097449668,Low,0.0,0.0,93.05555555555556,47.66646739151638,0.07516339869281087,0.0,0
2025-02-03,8.972630269519009,Low,0.0,0.0,92.36111111111111,35.931377043372,0.07461873638344187,0.0,0
2025-02-04,8.882367001040251,Low,0.0,0.0,93.05555555555556,35.326656786983115,-0.021786492374727948,0.0,0
2025-02-05,8.950407692361344,Low,0.0,0.0,92.38430612943012,35.2031202149303,0.008714596949891726,0.0,0
2025-02-06,18.764704025458503,Low,0.0,0.0,93.14480926964,36.15667988753964,-0.039215686274510685,0.0,1
2025-02-07,18.3472903672608,Low,0.0,0.0,93.75,40.7550375038626,0.06971677559912892,0.0,1
2025-02-08,17.924533106468058,Low,0.0,0.0,92.36111111111111,45.72607416407759,-0.00816993464052259,0.0,1
2025-02-09,16.46445582362226,Low,0.0,0.0,92.36111111111111,60.01230450887543,-0.05364923747276684,0.0,1
2025-02-10,14.485603230450481,Low,0.0,0.0,92.36897661513419,73.80576450084031,-0.10947712418300701,0.0,1
2025-02-11,15.148775744446652,Low,0.0,0.0,93.75,74.453146694967,-0.1860021786492366,0.0,1
2025-02-12,16.613531159211686,Low,0.0,0.0,92.36111111111111,75.14328317912499,-0.061002178649237244,0.0,1
2025-02-13,16.85063406986444,Low,0.0,0.0,92.7536231884058,72.07336944628314,-0.0846831486217684,0.0,1
2025-02-14,16.998846983598796,Low,0.0,0.0,93.75,69.82362166728,-0.04684095860566434,0.0,1
2025-02-15,16.700277734871374,Low,0.0,0.0,94.44444444444444,72.26601350095945,-0.006808278867102706,0.0,1
2025-02-16,16.886767975764855,Low,0.0,0.0,91.66666666666667,73.68542481751486,0.025326797385621342,0.0,1
2025-02-17,16.000080967697794,Low,0.0,0.0,93.75,75.90196810079985,0.03485838779956377,0.0,1
