date,predicted_ratio,actual_ratio,predicted_spot,actual_spot,on_demand,avg_risk,max_z_score,anomaly_hours,ml_anomaly_hours,abs_error,pct_error
2025-01-02,0.3977910991537427,0.3960375816993464,0.03381224342806813,0.03366319444444445,0.08499999999999999,12.408402826166308,0.8869676117176188,0,0,0.00014904898362368135,0.4427654180878827
2025-01-03,0.3990080872140984,0.3971977124183006,0.033915687413198364,0.03376180555555556,0.08499999999999999,11.263854593094095,0.8681467456954799,0,0,0.00015388185764280554,0.45578681326622367
2025-01-04,0.4010289904501596,0.3983741830065359,0.03408746418826356,0.03386180555555555,0.08499999999999999,11.971823236659239,0.8493258796733409,0,0,0.00022565863270801456,0.6664105147547036
2025-01-05,0.4047568568651451,0.40158496732026144,0.03440433283353733,0.03413472222222222,0.08499999999999999,13.817242991814268,0.8116841476290614,0,0,0.0002696106113151131,0.7898426990555457
2025-01-06,0.4090021802742993,0.4063643790849673,0.034765185323315434,0.03454097222222222,0.08499999999999999,12.459903022955332,0.7364006835405056,0,0,0.00022421310109321108,0.6491221487650012
2025-01-07,0.4081207301083131,0.4073692810457517,0.03469026205920661,0.03462638888888889,0.08499999999999999,12.05646913035996,0.6987589514962278,0,0,6.387317031772421e-05,0.1844638507430967
2025-01-08,0.41357436554096605,0.41066176470588234,0.03515382107098211,0.03490625,0.08499999999999999,11.264596881397388,0.6987589514962278,0,0,0.00024757107098211106,0.7092456823122251
2025-01-09,0.41400508977260797,0.413937908496732,0.035190432630671675,0.03518472222222222,0.08499999999999999,8.069783312561245,0.6046546213855314,0,0,5.710408449453863e-06,0.016229795458914387
2025-01-10,0.41927699882021896,0.41620915032679734,0.035638544899718606,0.03537777777777778,0.08499999999999999,6.673381724031226,0.6046546213855314,0,0,0.0002607671219408275,0.7370929954357561
2025-01-11,0.4165005094400727,0.4156617647058823,0.03540254330240618,0.03533125,0.08499999999999999,7.485904787794431,0.5858337553633916,0,0,7.129330240617654e-05,0.20178539509973903
2025-01-12,0.4161103302442292,0.4152369281045751,0.03536937807075948,0.03529513888888888,0.08499999999999999,7.68281121464974,0.5858337553633916,0,0,7.423918187059869e-05,0.21033826245678727
2025-01-13,0.4226260685112395,0.4211437908496731,0.035923215823455354,0.03579722222222222,0.08499999999999999,5.938502043284482,0.5670128893412535,0,0,0.00012599360123313058,0.3519647431048887
2025-01-14,0.4230637697925715,0.4224591503267974,0.03596042043236857,0.035909027777777776,0.08499999999999999,4.507558253992844,0.4729085592305571,0,0,5.139265459079556e-05,0.14311903655213912
2025-01-15,0.4230567064637403,0.42260620915032676,0.03595982004941792,0.03592152777777777,0.08499999999999999,4.679701222240603,0.4729085592305571,0,0,3.8292271640150144e-05,0.10659978572470127
2025-01-16,0.42286804649525117,0.42321895424836603,0.035943783952096346,0.03597361111111111,0.08499999999999999,5.178879673076866,0.4729085592305571,0,0,2.9827159014762794e-05,0.08291399749287368
2025-01-17,0.4213745039228438,0.42218954248366003,0.03581683283344172,0.03588611111111111,0.08499999999999999,4.323633524921278,0.49172942525269603,0,0,6.927827766939343e-05,0.19305039059510515
2025-01-18,0.4194285914178401,0.41948529411764707,0.035651430270516406,0.03565625,0.08499999999999999,4.907537626413928,0.5293711572969748,0,0,4.819729483594715e-06,0.013517208017092976
2025-01-19,0.41614512811446,0.416470588235294,0.035372335889729094,0.0354,0.08499999999999999,7.267436534993054,0.5858337553633916,0,0,2.766411027090715e-05,0.07814720415510494
2025-01-20,0.413866948640206,0.41294117647058826,0.03517869063441751,0.0351,0.08499999999999999,9.057813217299067,0.6234754874076694,0,0,7.86906344175109e-05,0.2241898416453302
2025-01-21,0.41480145799800816,0.41334150326797386,0.03525812392983069,0.03513402777777778,0.08499999999999999,8.59556238664198,0.6046546213855314,0,0,0.00012409615205290908,0.3532078725440062
2025-01-22,0.41501515680060413,0.41372549019607846,0.035276288328051346,0.035166666666666666,0.08499999999999999,8.519342180061171,0.6234754874076694,0,0,0.00010962166138468038,0.31172036412705323
2025-01-23,0.4191428297343928,0.4154983660130719,0.035627140527423384,0.035317361111111105,0.08499999999999999,7.752794956791885,0.6046546213855314,0,0,0.0003097794163122794,0.8771306988019003
2025-01-24,0.4195969998960862,0.4185702614379085,0.03566574499116732,0.03557847222222222,0.08499999999999999,6.430300095638447,0.5293711572969748,0,0,8.727276894510139e-05,0.2452965613587844
2025-01-25,0.4222355320073708,0.4220179738562091,0.03589002022062651,0.03587152777777778,0.08499999999999999,5.022356208426559,0.49172942525269603,0,0,1.8492442848731805e-05,0.05155186855517142
2025-01-26,0.41894312433844066,0.4195996732026144,0.035610165568767456,0.03566597222222222,0.08499999999999999,4.926941068545009,0.5293711572969748,0,0,5.5806653454761046e-05,0.15647029921699393
2025-01-27,0.41614553851691133,0.4158006535947711,0.03537237077393746,0.03534305555555555,0.08499999999999999,6.833300964168085,0.5670128893412535,0,0,2.9315218381911756e-05,0.08294477633896517
2025-01-28,0.42944335166080405,0.4258251633986927,0.03650268489116834,0.03619513888888889,0.08499999999999999,7.671644636050214,0.5670128893412535,0,0,0.0003075460022794532,0.8496886922400044
2025-01-29,0.43215335803276994,0.43080882352941174,0.036733035432785444,0.036618750000000005,0.08499999999999999,9.07905161892658,0.3411624970755837,0,0,0.00011428543278543812,0.31209539589810714
2025-01-30,0.43047425466391337,0.43146241830065357,0.03659031164643263,0.03667430555555556,0.08499999999999999,9.543506720671807,0.3411624970755837,0,0,8.39939091229272e-05,0.22902658373637153
